"";"category";"commenting_person_id";"positive_reaction";"comment_id";"time";"date";"article_id";"reacting_person_id"
"129488";"zahranicni";53705;1;70980704;"17:24";"3.3.2015";"A150303_112658_zahranicni_ert";45551
"129489";"zahranicni";53705;1;70980704;"17:24";"3.3.2015";"A150303_112658_zahranicni_ert";67452
"129490";"zahranicni";53705;1;70980704;"17:24";"3.3.2015";"A150303_112658_zahranicni_ert";85305
"129491";"zahranicni";53705;1;70980704;"17:24";"3.3.2015";"A150303_112658_zahranicni_ert";75822
"129492";"zahranicni";63503;1;70980711;"17:24";"3.3.2015";"A150303_112658_zahranicni_ert";2459
"129493";"zahranicni";63503;1;70980711;"17:24";"3.3.2015";"A150303_112658_zahranicni_ert";44462
"129494";"zahranicni";63503;1;70980711;"17:24";"3.3.2015";"A150303_112658_zahranicni_ert";75822
"129495";"zahranicni";63503;1;70980711;"17:24";"3.3.2015";"A150303_112658_zahranicni_ert";5999
"129496";"zahranicni";45105;1;70980712;"17:24";"3.3.2015";"A150303_112658_zahranicni_ert";41658
"129497";"zahranicni";45105;1;70980712;"17:24";"3.3.2015";"A150303_112658_zahranicni_ert";94691
"129498";"zahranicni";45105;1;70980712;"17:24";"3.3.2015";"A150303_112658_zahranicni_ert";85305
"129499";"zahranicni";45105;1;70980712;"17:24";"3.3.2015";"A150303_112658_zahranicni_ert";75822
"129500";"zahranicni";45105;1;70980712;"17:24";"3.3.2015";"A150303_112658_zahranicni_ert";53557
"129501";"zahranicni";77171;1;70980724;"17:25";"3.3.2015";"A150303_112658_zahranicni_ert";73099
"129502";"zahranicni";81408;1;70980726;"17:25";"3.3.2015";"A150303_112658_zahranicni_ert";39392
"129503";"zahranicni";81408;1;70980726;"17:25";"3.3.2015";"A150303_112658_zahranicni_ert";23396
"129504";"zahranicni";81408;1;70980726;"17:25";"3.3.2015";"A150303_112658_zahranicni_ert";85679
"129505";"zahranicni";81408;1;70980726;"17:25";"3.3.2015";"A150303_112658_zahranicni_ert";47697
"129506";"zahranicni";81408;1;70980726;"17:25";"3.3.2015";"A150303_112658_zahranicni_ert";41658
